Category,Subcategory,affiliation,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
Events & Activities,Stay Connected,all,,,http://www.washington.edu/news/,Campus News,http://www.uwb.edu/news,Campus News,http://www.tacoma.uw.edu/news/news-information,Campus News,no
Events & Activities,Stay Connected,all,,,http://www.facebook.com/UofWA,UW Facebook Page,http://www.facebook.com/uwbothell,UW Bothell Facebook Page,http://www.facebook.com/uwtacoma,UW Tacoma Facebook Page,no
Events & Activities,Stay Connected,all,,,http://www.youtube.com/user/uwhuskies,UW YouTube Channel,http://www.youtube.com/user/uwbothell,UW Bothell YouTube Channel,http://www.youtube.com/user/uwTacomaAdvancement,UW Tacoma YouTube Channel,no
Events & Activities,Stay Connected,all,,,http://instagram.com/uofwa,UW Instagram,http://instagram.com/UW_BOTHELL,UW Bothell Instagram,,,no
Events & Activities,Stay Connected,all,,,http://twitter.com/UW,UW Twitter,http://twitter.com/UWBothell,UW Bothell Twitter,,,no
Events & Activities,Stay Connected,all,,,http://www.linkedin.com/company/university-of-washington,UW LinkedIn,https://www.linkedin.com/groups/University-Washington-Bothell-92858?home=&gid=92858,UW Bothell LinkedIn,,,no
Employment,,all,,,http://careers.washington.edu/,Career Center,http://www.bothell.washington.edu/careers,Career Services,http://www.tacoma.washington.edu/studentaffairs/ss/cde_about.cfm,Career Development,no
Employment,,all,https://www.washington.edu/ess/,Employee Self-Service (ESS),,,,,,,yes
Employment,,all,https://careers.uw.edu/jobs/,Career and Internship Center,,,,,,,yes
Employment,,all,http://www.lib.washington.edu/about/employment/students,Student Employment in the Libraries,,,,,,,no
Employment,,all,http://www.huskyjobs.washington.edu/students,Husky Jobs,,,,,,,no
